date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
1/25/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,26576.00,2718876.16,1.70
1/25/2021,IZRL,"RADWARE LTD",RDWR,M81873107,95854.00,2704041.34,1.69
1/25/2021,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,20804.00,2705352.16,1.69
1/25/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,17994.00,2688247.00,1.68
1/25/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,112355.00,2669554.80,1.67
1/25/2021,IZRL,"SILICOM LTD",SILC,M84116108,60152.00,2671350.32,1.67
1/25/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,560330.00,2662615.61,1.66
1/25/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,320393.00,2646446.18,1.65
1/25/2021,IZRL,"WIX.COM LTD",WIX,M98068105,10386.00,2646352.80,1.65
1/25/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,1777005.00,2633082.38,1.65
1/25/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,9824.00,2641575.36,1.65
1/25/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,19838.00,2647490.00,1.65
1/25/2021,IZRL,"REDHILL BIOPHARMA LTD-SP ADR",RDHL,757468103,329346.00,2605126.86,1.63
1/25/2021,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,567823.00,2601113.15,1.63
1/25/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,189399.00,2613706.20,1.63
1/25/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,78242.00,2589810.20,1.62
1/25/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,2527807.00,2570651.19,1.61
1/25/2021,IZRL,"HILAN LTD",HLAN,6267230,57492.00,2580950.98,1.61
1/25/2021,IZRL,"DARIOHEALTH CORP",DRIO,23725P209,110047.00,2538784.29,1.59
1/25/2021,IZRL,"POLYPID LTD",PYPD,M8001Q118,245119.00,2510018.56,1.57
1/25/2021,IZRL,"KAMADA LTD",KMDA,B0L2CR5,363713.00,2494730.18,1.56
1/25/2021,IZRL,"JFROG LTD",FROG,M6191J100,36700.00,2472112.00,1.55
1/25/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,111857.00,2450298.55,1.53
1/25/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,7590.00,2353810.80,1.47
1/25/2021,IZRL,"AUGWIND ENERGY TECH STORAGE",BIMCM,B290CJ7,78348.00,2330221.93,1.46
1/25/2021,IZRL,"COMPUGEN LTD",CGEN,M25722105,182315.00,2306284.75,1.44
1/25/2021,IZRL,"ENLIVEX THERAPEUTICS LTD",ENLV,M4130Y106,187971.00,2283847.65,1.43
1/25/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,22831.00,2212323.90,1.38
1/25/2021,IZRL,"ITAMAR MEDICAL LTD",ITMR,B1VJHY5,2650127.00,2193264.37,1.37
1/25/2021,IZRL,"PLURISTEM THERAPEUTICS INC",PSTI,72940R300,289798.00,2158995.10,1.35
1/25/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,140304.00,2075959.32,1.30
1/25/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,48035.00,1836610.78,1.15
1/25/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,33382.00,1758557.03,1.10
1/25/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,92120.00,1550102.92,0.97
1/25/2021,IZRL,"AYALA PHARMACEUTICALS INC",AYLA,05465V108,107171.00,1543262.40,0.96
1/25/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,67039.00,1444987.82,0.90
1/25/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,4672.00,1291238.36,0.81
1/25/2021,IZRL,"HAMLET (ISRAEL-CANADA) LTD",HAML,6443858,65355.00,1212695.01,0.76
1/25/2021,IZRL,"INTERCURE LTD",INCR,B23SD94,980914.00,1171285.31,0.73
1/25/2021,IZRL,"E & M COMPUTING",EMCO,6302216,181456.00,942052.83,0.59
1/25/2021,IZRL,"EVOGENE LTD",EVGN,B289530,132458.00,927954.35,0.58
1/25/2021,IZRL,"ROBOGROUP T.E.K LTD",ROBO,6302722,354733.00,751607.13,0.47
1/25/2021,IZRL,"BIONDVAX PHARMACEUTICALS-ADR",BVXV,09073Q105,9720.00,51807.60,0.03
,,,,,,,
,,,,,,,
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product.",,,,,,
